id,year,loan_limit,gender,approv_in_adv,loan_type,loan_purpose,credit_worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,interest_rate_spread,upfront_charges,term,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,total_units,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,ltv,region,security_type,status,dtir1,income_to_loan_ratio,emi_estimate,emi_income_ratio
71221,2019,conforming,sex not available,no_preapproval,type1,p3,l1,nopc,non_business,236500,4.25,0.7527,7596.88,360.0,no,no,lpsm,288000.0,sb,pr,home,1u,4440.0,crif,597,cib,55-64,to_inst,82.11805556,south,direct,0,44.0,0.018773784355179703,656.9444444444445,0.14796046046046046
114053,2019,conforming,joint,no_preapproval,type1,p1,l1,nopc,non_business,446500,3.99,-0.105,321.4,360.0,no,no,not_lpsm,558000.0,sb,pr,home,1u,7860.0,cib,707,exp,45-54,not_inst,80.01792115,south,direct,0,38.0,0.017603583426651737,1240.2777777777778,0.15779615493355953
56785,2019,conforming,female,no_preapproval,type1,p3,l1,nopc,non_business,226500,3.75,0.0511,3000.0,360.0,no,no,not_lpsm,288000.0,sb,pr,home,1u,6180.0,cib,627,cib,55-64,not_inst,78.64583333,north,direct,0,29.0,0.02728476821192053,629.1666666666666,0.10180690399137
130266,2019,conforming,male,no_preapproval,type1,p4,l1,nopc,non_business,386500,3.75,0.2813,5993.08,360.0,no,no,not_lpsm,598000.0,sb,pr,home,1u,6060.0,cib,788,cib,25-34,not_inst,64.63210702,north,direct,0,32.0,0.015679172056921088,1073.611111111111,0.17716354968830217
160928,2019,non_conforming,female,no_preapproval,type1,p3,l1,nopc,non_business,216500,4.375,0.3517,2196.35,360.0,no,no,not_lpsm,358000.0,sb,pr,home,1u,2340.0,cib,585,cib,45-54,to_inst,60.47486034,north,direct,0,44.0,0.010808314087759814,601.3888888888889,0.25700379867046536
45678,2019,conforming,male,no_preapproval,type1,p1,l1,nopc,non_business,216500,3.99,0.3858,2555.5550000000003,360.0,no,no,not_lpsm,258000.0,sb,pr,home,1u,3240.0,cib,741,cib,35-44,not_inst,83.91472868,south,direct,1,44.0,0.014965357967667436,601.3888888888889,0.18561385459533608
92094,2019,conforming,male,preapproved,type2,p1,l1,nopc,business,276500,5.375,1.9802,0.0,360.0,yes,no,not_lpsm,288000.0,sb,pr,home,1u,6240.0,crif,545,cib,35-44,to_inst,96.00694444,central,direct,0,41.0,0.022567811934900543,768.0555555555555,0.12308582621082621
82847,2019,conforming,joint,no_preapproval,type1,p1,l1,nopc,non_business,306500,4.375,0.4159,4927.0,360.0,no,no,not_lpsm,378000.0,sb,pr,home,1u,6660.0,crif,727,exp,65-74,to_inst,81.08465608,north,direct,0,31.0,0.02172920065252855,851.3888888888889,0.12783616950283616
63559,2019,conforming,joint,no_preapproval,type1,p1,l1,nopc,non_business,476500,4.125,0.2237,16892.0,360.0,no,no,not_lpsm,638000.0,sb,ir,home,1u,5520.0,cib,875,exp,45-54,to_inst,74.68652038,north,direct,0,37.0,0.011584470094438614,1323.611111111111,0.23978462157809982
138938,2019,conforming,joint,no_preapproval,type1,p4,l1,nopc,non_business,436500,3.75,0.2576,5378.75,360.0,no,no,not_lpsm,488000.0,sb,pr,home,1u,6120.0,crif,633,exp,35-44,not_inst,89.44672131,north,direct,0,43.0,0.014020618556701031,1212.5,0.19812091503267973
25711,2019,conforming,sex not available,no_preapproval,type1,p4,l1,nopc,non_business,486500,3.99,0.3858,2555.5550000000003,324.0,yes,yes,not_lpsm,418000.0,sb,pr,home,1u,6720.0,equi,867,exp,35-44,to_inst,75.11160714,south,direct,1,39.0,0.01381294964028777,1501.5432098765432,0.22344393004115226
85652,2019,conforming,female,preapproved,type1,p1,l1,nopc,non_business,276500,3.99,0.5446,0.0,360.0,no,no,not_lpsm,288000.0,sb,pr,home,1u,6960.0,crif,898,cib,25-34,not_inst,96.00694444,north,direct,0,21.0,0.025171790235081374,768.0555555555555,0.11035280970625798
170436,2019,conforming,joint,no_preapproval,type2,p4,l1,nopc,business,116500,3.99,0.3858,2555.5550000000003,240.0,no,no,not_lpsm,268000.0,sb,pr,home,1u,4680.0,crif,683,exp,45-54,to_inst,43.47014925,north,direct,1,24.0,0.04017167381974249,485.4166666666667,0.10372150997150997
51782,2019,conforming,male,preapproved,type1,p1,l1,nopc,non_business,206500,4.875,1.434,5380.96,360.0,no,no,not_lpsm,268000.0,sb,ir,home,1u,1500.0,cib,716,cib,55-64,to_inst,77.05223881,north,direct,0,34.0,0.007263922518159807,573.6111111111111,0.3824074074074074
80974,2019,conforming,sex not available,no_preapproval,type1,p3,l1,nopc,non_business,196500,3.75,0.2774,5226.1,360.0,no,no,not_lpsm,258000.0,sb,pr,home,1u,2520.0,cib,664,cib,55-64,to_inst,76.1627907,south,direct,0,36.0,0.01282442748091603,545.8333333333334,0.21660052910052913
97084,2019,conforming,male,no_preapproval,type1,p4,l1,nopc,non_business,386500,3.625,0.05,1960.56,360.0,no,yes,not_lpsm,608000.0,sb,pr,home,1u,4020.0,cib,808,cib,45-54,not_inst,63.56907895,south,direct,0,42.0,0.010401034928848642,1073.611111111111,0.2670674405749033
132737,2019,conforming,male,no_preapproval,type1,p4,l1,nopc,non_business,156500,3.99,0.716,4352.0,240.0,no,no,not_lpsm,308000.0,sb,pr,home,1u,7260.0,crif,832,exp,55-64,to_inst,50.81168831,north,direct,0,43.0,0.04638977635782748,652.0833333333334,0.0898186409550046
34844,2019,conforming,male,no_preapproval,type1,p4,l1,nopc,non_business,506500,4.0,0.4474,0.0,360.0,no,no,not_lpsm,538000.0,sb,pr,home,1u,6120.0,exp,695,cib,35-44,not_inst,94.14498141,north,direct,0,43.0,0.012082922013820335,1406.9444444444443,0.22989288307915756
67172,2019,conforming,male,no_preapproval,type1,p3,l2,nopc,non_business,76500,4.5,1.4503,2570.0,180.0,no,no,not_lpsm,128000.0,sb,pr,home,1u,2340.0,cib,735,cib,65-74,to_inst,59.765625,north,direct,0,27.0,0.03058823529411765,425.0,0.18162393162393162
97069,2019,conforming,joint,no_preapproval,type1,p3,l1,nopc,non_business,396500,3.99,0.5521,7111.28,360.0,no,no,not_lpsm,538000.0,sb,pr,home,1u,4920.0,crif,812,exp,35-44,not_inst,73.69888476,north,direct,0,41.0,0.012408575031525851,1101.388888888889,0.22385953026196928
133916,2019,conforming,joint,no_preapproval,type1,p3,l1,nopc,non_business,86500,4.75,0.7294,2850.0,360.0,no,no,not_lpsm,208000.0,sb,pr,home,1u,3060.0,exp,891,exp,65-74,to_inst,41.58653846,south,direct,0,38.0,0.035375722543352604,240.27777777777777,0.07852214960058097
150919,2019,conforming,sex not available,no_preapproval,type1,p3,l1,nopc,non_business,486500,3.25,-0.2507,795.0,360.0,no,no,not_lpsm,828000.0,sb,pr,home,1u,7860.0,crif,792,cib,>74,to_inst,58.75603865,south,direct,0,36.0,0.01615621788283659,1351.388888888889,0.17193242861181793
144945,2019,conforming,female,no_preapproval,type1,p4,l1,nopc,non_business,646500,4.25,-0.083,380.75,360.0,no,no,not_lpsm,988000.0,sb,pr,home,1u,7800.0,exp,847,exp,35-44,not_inst,65.43522267,south,direct,0,45.0,0.012064965197215777,1795.8333333333333,0.23023504273504272
139631,2019,conforming,male,no_preapproval,type1,p4,l1,nopc,non_business,286500,3.5,-0.1152,7362.5,360.0,no,no,not_lpsm,358000.0,sb,pr,home,1u,5400.0,exp,780,cib,35-44,to_inst,80.02793296,central,direct,0,41.0,0.018848167539267015,795.8333333333334,0.14737654320987656
145820,2019,conforming,male,no_preapproval,type1,p2,l1,opc,non_business,356500,6.24,0.982,2555.5550000000003,360.0,no,yes,not_lpsm,508000.0,sb,pr,home,1u,6000.0,cib,576,cib,55-64,to_inst,70.17716535,north,direct,0,41.0,0.016830294530154277,990.2777777777778,0.1650462962962963
93749,2019,conforming,joint,preapproved,type1,p1,l1,nopc,non_business,136500,3.99,0.6177,5055.0,360.0,no,no,not_lpsm,178000.0,sb,sr,home,1u,5940.0,exp,523,exp,55-64,to_inst,76.68539326,north,direct,0,38.0,0.04351648351648352,379.1666666666667,0.0638327721661055
77118,2019,conforming,sex not available,no_preapproval,type1,p1,l1,nopc,non_business,256500,3.375,-0.1556,2392.45,360.0,no,no,not_lpsm,308000.0,sb,pr,home,1u,6900.0,exp,719,exp,25-34,to_inst,83.27922078,south,direct,0,30.0,0.026900584795321637,712.5,0.10326086956521739
46407,2019,conforming,sex not available,no_preapproval,type1,p3,l1,nopc,non_business,226500,3.75,0.2752,3744.13,360.0,yes,no,not_lpsm,508000.0,sb,pr,home,1u,3480.0,cib,680,cib,65-74,to_inst,44.58661417,south,direct,0,41.0,0.015364238410596026,629.1666666666666,0.18079501915708812
145031,2019,conforming,joint,no_preapproval,type1,p4,l1,nopc,non_business,386500,3.99,-0.0452,5575.0,360.0,no,no,not_lpsm,478000.0,sb,pr,home,1u,9900.0,crif,690,exp,25-34,not_inst,80.85774059,north,direct,0,33.0,0.025614489003880983,1073.611111111111,0.1084455667789001
155019,2019,conforming,male,no_preapproval,type3,p3,l1,nopc,non_business,196500,3.99,0.3858,2555.5550000000003,360.0,no,no,not_lpsm,228000.0,sb,pr,home,1u,5340.0,cib,512,cib,35-44,to_inst,86.18421053,south,direct,1,59.0,0.02717557251908397,545.8333333333334,0.1022159800249688
79048,2019,non_conforming,sex not available,preapproved,type2,p1,l1,nopc,business,136500,3.99,1.3996,1570.04,360.0,no,no,not_lpsm,148000.0,sb,pr,home,1u,2280.0,exp,548,exp,25-34,to_inst,92.22972973,south,direct,0,57.0,0.016703296703296705,379.1666666666667,0.16630116959064328
160736,2019,conforming,joint,preapproved,type3,p4,l1,nopc,non_business,526500,3.875,0.1181,0.0,360.0,no,no,not_lpsm,528000.0,sb,pr,home,1u,5820.0,exp,503,exp,25-34,not_inst,99.71590909,south,direct,0,39.0,0.011054131054131054,1462.5,0.25128865979381443
138657,2019,conforming,female,no_preapproval,type1,p3,l1,nopc,non_business,166500,3.99,1.1498,3438.25,168.0,no,no,not_lpsm,298000.0,sb,sr,home,1u,5100.0,crif,612,cib,55-64,to_inst,55.87248322,central,direct,0,37.0,0.03063063063063063,991.0714285714286,0.19432773109243698
131052,2019,non_conforming,sex not available,no_preapproval,type1,p1,l1,nopc,non_business,546500,3.875,0.107,2835.0,360.0,no,no,not_lpsm,688000.0,sb,pr,home,1u,9300.0,crif,572,exp,35-44,to_inst,79.43313953,south,direct,0,37.0,0.017017383348581886,1518.0555555555557,0.16323178016726406
75121,2019,conforming,male,no_preapproval,type1,p4,l1,nopc,non_business,486500,3.99,0.3858,2555.5550000000003,360.0,no,no,lpsm,418000.0,sb,ir,home,1u,10620.0,equi,507,exp,35-44,not_inst,75.11160714,north,direct,1,39.0,0.021829393627954777,1351.388888888889,0.12724942456580876
56965,2019,conforming,joint,no_preapproval,type1,p1,l1,nopc,non_business,196500,3.99,1.2561,2710.63,360.0,no,no,not_lpsm,208000.0,sb,pr,home,1u,9900.0,cib,632,exp,45-54,to_inst,94.47115385,south,direct,0,34.0,0.050381679389312976,545.8333333333334,0.05513468013468014
74931,2019,conforming,female,preapproved,type1,p1,l1,nopc,non_business,156500,4.375,0.453,4485.0,360.0,no,no,not_lpsm,198000.0,sb,pr,home,1u,5580.0,cib,743,cib,55-64,to_inst,79.04040404,north,direct,0,37.0,0.035654952076677314,434.72222222222223,0.07790720828355237
34463,2019,non_conforming,joint,no_preapproval,type3,p3,l1,nopc,non_business,586500,3.99,0.3858,2555.5550000000003,360.0,no,yes,not_lpsm,678000.0,sb,pr,home,1u,6660.0,crif,812,exp,65-74,not_inst,86.50442478,south,direct,1,59.0,0.011355498721227621,1629.1666666666667,0.24461961961961964
66604,2019,conforming,joint,no_preapproval,type3,p4,l1,nopc,non_business,476500,2.99,-0.511,4624.49,360.0,no,yes,not_lpsm,618000.0,sb,pr,home,1u,5820.0,cib,775,exp,55-64,to_inst,77.10355987,north,direct,0,39.0,0.012214060860440714,1323.611111111111,0.2274245895379916
30651,2019,conforming,male,no_preapproval,type3,p3,l1,nopc,non_business,426500,3.49,-0.1398,4200.0,360.0,no,no,not_lpsm,428000.0,sb,pr,home,1u,6540.0,exp,849,cib,65-74,to_inst,99.64953271,north,direct,0,32.0,0.01533411488862837,1184.7222222222222,0.18115018688413184
66716,2019,conforming,male,no_preapproval,type1,p4,l1,nopc,non_business,306500,3.99,0.3858,2555.5550000000003,360.0,no,yes,not_lpsm,338000.0,sb,pr,home,1u,4620.0,crif,766,cib,35-44,to_inst,90.68047337,south,direct,1,34.0,0.015073409461663948,851.3888888888889,0.1842833092833093
146858,2019,conforming,male,preapproved,type3,p3,l1,nopc,non_business,106500,3.625,-0.0758,2000.0,360.0,no,no,not_lpsm,138000.0,sb,pr,home,1u,1320.0,crif,503,cib,65-74,to_inst,77.17391304,south,direct,0,37.0,0.012394366197183098,295.8333333333333,0.2241161616161616
110028,2019,non_conforming,joint,no_preapproval,type3,p4,l1,nopc,non_business,556500,3.375,-0.3581,155.02,360.0,no,no,not_lpsm,578000.0,sb,pr,home,1u,5820.0,crif,856,exp,35-44,not_inst,96.28027682,south,direct,0,39.0,0.01045822102425876,1545.8333333333333,0.26560710194730813
76070,2019,conforming,female,no_preapproval,type1,p4,l1,nopc,non_business,566500,4.125,0.5092,170.7,360.0,yes,no,not_lpsm,728000.0,sb,pr,home,1u,6540.0,crif,800,cib,35-44,not_inst,77.81593407,north,direct,0,41.0,0.011544571932921447,1573.611111111111,0.24061331974176012
38202,2019,conforming,sex not available,no_preapproval,type1,p2,l1,nopc,non_business,206500,3.25,-0.2538,2555.5550000000003,360.0,no,no,lpsm,358000.0,sb,pr,home,1u,2520.0,exp,616,cib,55-64,to_inst,57.68156425,south,direct,0,46.0,0.012203389830508475,573.6111111111111,0.22762345679012344
88623,2019,conforming,female,preapproved,type1,p4,l1,nopc,non_business,406500,3.875,0.1514,4292.0,360.0,no,no,not_lpsm,488000.0,sb,pr,home,1u,6600.0,cib,849,cib,55-64,to_inst,83.29918033,north,direct,0,39.0,0.016236162361623615,1129.1666666666667,0.1710858585858586
137715,2019,conforming,female,no_preapproval,type1,p4,l1,nopc,non_business,226500,3.625,0.0641,812.0,360.0,no,no,not_lpsm,588000.0,sb,pr,home,1u,4260.0,cib,728,cib,55-64,not_inst,38.52040816,north,direct,0,21.0,0.01880794701986755,629.1666666666666,0.14769170579029733
85615,2019,conforming,sex not available,no_preapproval,type1,p1,l1,nopc,non_business,726500,4.99,0.7452,2058.16,360.0,no,no,not_lpsm,848000.0,sb,pr,home,1u,11700.0,crif,787,cib,35-44,to_inst,85.67216981,south,direct,0,40.0,0.01610461114934618,2018.0555555555557,0.17248338081671416
87887,2019,conforming,female,no_preapproval,type1,p1,l2,nopc,non_business,56500,3.99,0.3858,2555.5550000000003,300.0,yes,no,not_lpsm,58000.0,sb,pr,home,1u,1440.0,cib,693,cib,55-64,to_inst,97.4137931,north,direct,1,57.0,0.025486725663716816,188.33333333333334,0.13078703703703703
125643,2019,conforming,joint,no_preapproval,type1,p1,l1,nopc,non_business,396500,3.75,-0.0272,0.0,360.0,no,no,not_lpsm,528000.0,sb,pr,home,1u,11460.0,exp,730,exp,55-64,not_inst,75.09469697,north,direct,0,48.0,0.028902900378310215,1101.388888888889,0.09610723288733761
171796,2019,conforming,sex not available,no_preapproval,type2,p2,l1,nopc,business,56500,3.99,0.3858,2555.5550000000003,360.0,no,no,lpsm,418000.0,sb,pr,home,1u,1140.0,equi,858,exp,55-64,to_inst,75.11160714,south,direct,1,39.0,0.020176991150442476,156.94444444444446,0.13767056530214425
102914,2019,conforming,sex not available,no_preapproval,type1,p1,l1,nopc,non_business,106500,5.5,1.2348,2753.35,360.0,yes,no,not_lpsm,148000.0,sb,ir,home,1u,7680.0,exp,744,exp,45-54,to_inst,71.95945946,south,direct,0,32.0,0.07211267605633803,295.8333333333333,0.038519965277777776
81296,2019,conforming,sex not available,no_preapproval,type1,p4,l1,nopc,non_business,156500,3.99,0.3858,2555.5550000000003,360.0,no,no,not_lpsm,418000.0,sb,pr,home,1u,1740.0,equi,531,exp,65-74,to_inst,75.11160714,south,direct,1,39.0,0.011118210862619809,434.72222222222223,0.2498403575989783
102183,2019,conforming,sex not available,no_preapproval,type3,p4,l1,nopc,non_business,316500,3.25,-0.4137,3580.32,360.0,no,no,not_lpsm,368000.0,sb,pr,home,1u,5820.0,crif,552,exp,65-74,to_inst,86.00543478,south,direct,0,39.0,0.018388625592417062,879.1666666666666,0.15105956471935852
94225,2019,conforming,sex not available,no_preapproval,type1,p3,l1,nopc,non_business,296500,4.5,-0.0559,6578.6,360.0,no,no,not_lpsm,508000.0,sb,pr,home,1u,6540.0,exp,549,cib,65-74,to_inst,58.36614173,south,direct,0,22.0,0.022057335581787522,823.6111111111111,0.1259344206591913
33503,2019,conforming,sex not available,no_preapproval,type3,p4,l1,nopc,non_business,156500,3.375,-0.3314,594.75,360.0,no,no,not_lpsm,188000.0,sb,pr,home,1u,5820.0,exp,823,exp,55-64,to_inst,83.24468085,south,direct,0,39.0,0.03718849840255591,434.72222222222223,0.07469453990072547
73711,2019,conforming,male,preapproved,type1,p4,l1,nopc,non_business,606500,3.99,0.1202,0.0,360.0,no,no,not_lpsm,778000.0,sb,pr,home,1u,8400.0,crif,786,cib,55-64,to_inst,77.9562982,central,direct,0,37.0,0.013849958779884583,1684.7222222222222,0.2005621693121693
51217,2019,conforming,female,preapproved,type1,p4,l1,nopc,non_business,296500,3.5,-0.1589,3612.6,360.0,no,no,not_lpsm,518000.0,sb,pr,home,1u,7920.0,exp,625,cib,45-54,not_inst,57.23938224,north,direct,0,28.0,0.026711635750421583,823.6111111111111,0.10399130190796857
76177,2019,conforming,joint,no_preapproval,type1,p3,l1,nopc,non_business,236500,4.375,-0.0963,85.23,360.0,yes,no,not_lpsm,438000.0,sb,pr,home,1u,4620.0,exp,739,exp,>74,not_inst,53.99543379,north,direct,0,26.0,0.01953488372093023,656.9444444444445,0.1421957671957672
111508,2019,conforming,joint,no_preapproval,type1,p4,l1,nopc,non_business,316500,4.625,0.2519,0.0,360.0,no,no,not_lpsm,808000.0,sb,pr,home,1u,8100.0,cib,509,exp,>74,to_inst,39.17079208,north,direct,0,47.0,0.025592417061611375,879.1666666666666,0.10853909465020575
140990,2019,conforming,sex not available,no_preapproval,type1,p3,l1,nopc,non_business,216500,4.875,1.4996,5490.0,360.0,no,no,not_lpsm,268000.0,sb,pr,home,1u,6180.0,exp,501,cib,65-74,to_inst,80.78358209,south,direct,0,41.0,0.028545034642032334,601.3888888888889,0.09731211794318591
108247,2019,conforming,male,no_preapproval,type3,p4,l1,nopc,non_business,196500,2.99,-0.6717,2870.45,300.0,no,no,not_lpsm,368000.0,sb,pr,home,1u,5820.0,exp,625,exp,65-74,to_inst,53.39673913,north,direct,0,39.0,0.029618320610687022,655.0,0.11254295532646048
37062,2019,conforming,sex not available,no_preapproval,type1,p3,l1,nopc,non_business,236500,3.99,0.5574,7638.39,348.0,no,no,not_lpsm,368000.0,sb,pr,home,1u,4620.0,exp,748,exp,65-74,to_inst,64.26630435,south,direct,0,43.0,0.01953488372093023,679.5977011494252,0.1470990695128626
57079,2019,conforming,joint,no_preapproval,type1,p3,l1,nopc,non_business,236500,3.5,-0.0674,1236.35,360.0,no,yes,not_lpsm,418000.0,sb,pr,home,1u,7140.0,cib,566,exp,65-74,not_inst,56.57894737,north,direct,0,31.0,0.03019027484143763,656.9444444444445,0.09200902583255524
69037,2019,conforming,female,preapproved,type1,p3,l1,nopc,non_business,276500,4.56,0.2374,3249.25,360.0,no,no,not_lpsm,408000.0,sb,pr,home,1u,4260.0,cib,775,exp,45-54,to_inst,67.76960784,south,direct,0,44.0,0.015406871609403254,768.0555555555555,0.18029473135106938
151976,2019,conforming,sex not available,no_preapproval,type1,p3,l1,nopc,non_business,126500,3.25,0.5652,3706.25,180.0,no,no,not_lpsm,308000.0,sb,pr,home,1u,3840.0,cib,535,cib,55-64,to_inst,41.07142857,south,direct,0,22.0,0.03035573122529644,702.7777777777778,0.1830150462962963
81048,2019,conforming,female,no_preapproval,type3,p3,l1,nopc,non_business,486500,4.5,0.4,5306.89,360.0,no,no,not_lpsm,528000.0,sb,pr,home,1u,3660.0,crif,668,cib,>74,to_inst,92.14015152,north,direct,0,51.0,0.0075231243576567314,1351.388888888889,0.3692319368548877
132537,2019,non_conforming,male,no_preapproval,type2,p3,l1,nopc,business,186500,4.5,1.0845,1172.98,360.0,no,no,not_lpsm,218000.0,sb,pr,home,1u,3600.0,cib,900,cib,35-44,to_inst,85.55045872,north,direct,0,57.0,0.0193029490616622,518.0555555555555,0.14390432098765432
35273,2019,conforming,female,no_preapproval,type1,p3,l1,nopc,non_business,686500,3.625,-0.0677,205.41,360.0,no,no,not_lpsm,1238000.0,sb,pr,home,1u,9540.0,cib,666,cib,55-64,not_inst,55.45234249,south,direct,0,46.0,0.013896576839038602,1906.9444444444443,0.1998893547635686
47473,2019,conforming,sex not available,no_preapproval,type3,p3,l1,nopc,non_business,126500,4.5,0.3118,2632.88,360.0,no,no,not_lpsm,308000.0,sb,pr,home,1u,3360.0,exp,621,exp,65-74,to_inst,41.07142857,south,direct,0,41.0,0.026561264822134386,351.3888888888889,0.10458002645502647
